"start","stop","mid","SWE_td","ESP_td","SWE_pi","ESP_pi","SWE_ESP_fst","SWE_ESP_dxy","outlier_95","outlier_99"
41801,41901,41851,-0.00848703086296204,0.0262110217830864,0.00102418207681366,0.0197763431447642,0.572283572283572,0.0243157894736842,"Outlier","Outlier"
12032751,12032851,12032801,0.00698535095541411,-0.00724465303129873,0.00355555555555556,0.00295874822190612,0.618511662347279,0.00853801169590643,"Outlier","Outlier"
12032801,12032901,12032851,0.00698535095541411,-0.00724465303129873,0.00355555555555556,0.00295874822190612,0.618511662347279,0.00853801169590643,"Outlier","Outlier"
12990351,12990451,12990401,NA,0.0140632367744434,0,0.00466666666666667,0.641025641025641,0.0065,"Outlier","Outlier"
12990401,12990501,12990451,NA,0.0140632367744434,0,0.00466666666666667,0.641025641025641,0.0065,"Outlier","Outlier"
14541151,14541251,14541201,NA,0.00282407738131874,0,0.00546230440967283,0.629343629343629,0.00736842105263158,"Outlier","Outlier"
16688101,16688201,16688151,-0.0082550944432587,0.00213763112912298,0.00102418207681366,0.00273115220483642,0.767066035107272,0.00806094182825485,"Outlier","Outlier"
16688151,16688251,16688201,-0.0082550944432587,0.00213763112912298,0.00102418207681366,0.00273115220483642,0.767066035107272,0.00806094182825485,"Outlier","Outlier"
16688801,16688901,16688851,-0.00836027434374007,0.00272096411448827,0.000974358974358974,0.00285714285714286,0.760531135531135,0.008,"Outlier","Outlier"
16688851,16688951,16688901,-0.00845722607629631,-0.00373463761618759,0.000974358974358974,0.00383150183150183,0.7173023055376,0.0085,"Outlier","Outlier"
17603201,17603301,17603251,NA,0.014608901815981,0,0.00477951635846373,0.621621621621622,0.00631578947368421,"Outlier","Outlier"
