"start","stop","mid","SWE_td","ESP_td","SWE_pi","ESP_pi","SWE_ESP_fst","SWE_ESP_dxy","outlier_95","outlier_99"
2977801,2977901,2977851,NA,0.0097589632155362,0,0.00398293029871977,0.72972972972973,0.00736842105263158,"Outlier","Outlier"
2977851,2977951,2977901,NA,0.0097589632155362,0,0.00398293029871977,0.72972972972973,0.00736842105263158,"Outlier","Outlier"
2978401,2978501,2978451,NA,0.00908023430373597,0,0.00384615384615385,0.743589743589744,0.0075,"Outlier","Outlier"
2978451,2978551,2978501,NA,0.00908023430373597,0,0.00384615384615385,0.743589743589744,0.0075,"Outlier","Outlier"
2994551,2994651,2994601,-0.00813383875332295,0.00629472135807565,0.00107936507936508,0.00341394025604552,0.703337755847408,0.00757309941520468,"Outlier","Outlier"
3014301,3014401,3014351,NA,0.00908023430373597,0,0.00384615384615385,0.743589743589744,0.0075,"Outlier","Outlier"
3014351,3014451,3014401,NA,0.00908023430373597,0,0.00384615384615385,0.743589743589744,0.0075,"Outlier","Outlier"
3016951,3017051,3017001,NA,0.00908023430373597,0,0.00384615384615385,0.743589743589744,0.0075,"Outlier","Outlier"
6664301,6664401,6664351,NA,0.00629472135807565,0,0.00341394025604552,0.783783783783784,0.00789473684210526,"Outlier","Outlier"
6664351,6664451,6664401,NA,0.00629472135807565,0,0.00341394025604552,0.783783783783784,0.00789473684210526,"Outlier","Outlier"
6675501,6675601,6675551,-0.0027123074713218,-0.00306583421861342,0.00193456614509246,0.00184615384615385,0.76827845214942,0.00815789473684211,"Outlier","Outlier"
6675951,6676051,6676001,-0.0082550944432587,-0.0027123074713218,0.00102418207681366,0.00193456614509246,0.843843843843844,0.00947368421052632,"Outlier","Outlier"
7149851,7149951,7149901,-0.00782953806760505,0.0056544201051246,0.00120967741935484,0.00328205128205128,0.705460413022549,0.007625,"Outlier","Outlier"
7149901,7150001,7149951,-0.00782953806760505,0.0056544201051246,0.00120967741935484,0.00328205128205128,0.705460413022549,0.007625,"Outlier","Outlier"
